episode_title,high_coverage_mentions,low_coverage_mentions,coverage_type
173 - The Vanishing of Charles & Catherine Romer UPDATED,3,11,Low Coverage
"Unfound Live for February 2, 2026: Branson Perry, Dentist Followup, Yessenia Norman",6,8,Low Coverage
Analysis of the night of Jonelle Matthews' disappearance,1,1,Mixed
"Unfound Live for January 27, 2025: LA Fires Update, Car Trackers, Silver Linings",0,6,Low Coverage
"Unfound Live for January 13, 2025: LA fires, A Pilot disappears, Unsolved Mysteries Revisited",1,2,Low Coverage
"Unfound Live for January 6, 2025: Missy Bevers Insight, the recent attacks, Insomnia Disappearances",2,0,High Coverage
Unfound Update Episode #19,4,5,Low Coverage
"Unfound Live for December 16, 2024: The Drones, Missing in LA, Pankey News",4,2,High Coverage
"Gregory Keith Mann Jr.: We've Come A Long Way -- Wichita Falls, TX May 10, 1997",3,4,Low Coverage
"Jared McColloch: A Matter Of Time Zone -- Knox County, IN   Nov. 5, 2023",1,1,Mixed
"Tatiana Lupaca: Coming To America -- Brooklyn, NY   Jan. 25, 1999",1,2,Low Coverage
"Unfound Live for November 18, 2024: LA Woman, New Mexico Mystery, What Is Science",2,3,Low Coverage
33 | The Disappearance of Paul Fugate | Unfound On The Ground,2,1,High Coverage
"Unfound Live for November 11, 2024: Delphi Verdict, A Kayaker Mystery, Cold Case Units",3,3,Mixed
"Joseph Michael Bushling: Help -- Dugway, UT   May 8, 2011",1,7,Low Coverage
"Laynee Danielle Westbrook: And Her Little Dog Too -- Anacortes, WA   September 10, 2020",3,4,Low Coverage
"Unfound Now: Cynthia McCoy -- Kingman, AZ   August 20, 2024",0,1,Low Coverage
"John Clinton ""Clint"" Walker: No Jacket Required -- Bellingham, WA   November 11, 2014",1,4,Low Coverage
"Unfound Live for October 21, 2024: Mt. Everest Mystery, Zelig Williams, Denver Airport Disappearance",1,4,Low Coverage
"Unfound Live for Feb. 16, 2026: Leonard Dirickson, Nancy Guthrie Continued, Kids Solve A Case",4,16,Low Coverage
"Melissa Ann Trumpy: Taken Hostage -- Shannon, IL.  Oct. 26, 2021",0,46,Low Coverage
"Unfound Live for February 9, 2026: Anthony Fox, Nancy Guthrie, Virginia Piper",1,14,Low Coverage
THE VANISHING OF JOSEPH HELT,6,16,Low Coverage
