keyword,total_occurrences,episodes_containing,avg_per_episode,max_in_single_episode,avg_fuzzy_match_score
son,420,25,16.8,91,99.9
man,385,25,15.4,87,99.4
mother,244,21,11.62,87,98.2
kind,216,25,8.64,46,99.9
Black,152,17,8.94,38,95.6
woman,85,21,4.05,23,100.0
child,84,19,4.42,42,100.0
father,80,22,3.64,15,100.0
years old,79,23,3.43,18,98.9
boy,72,20,3.6,17,98.0
investigators,58,15,3.87,16,96.9
parent,55,20,2.75,10,100.0
young,54,18,3.0,10,100.0
finally,53,18,2.94,12,99.2
according to,53,16,3.31,12,100.0
drugs,52,16,3.25,15,98.2
daughter,51,16,3.19,14,99.8
wife,49,19,2.58,8,100.0
husband,48,15,3.2,9,99.7
sister,47,19,2.47,13,99.8
known to,44,10,4.4,22,98.0
years later,39,18,2.17,7,98.9
brother,37,20,1.85,5,99.1
teen,36,11,3.27,22,100.0
sheriff,36,16,2.25,11,100.0
girl,34,16,2.12,6,100.0
detective,33,15,2.2,9,100.0
would never,32,14,2.29,9,98.9
addiction,31,13,2.38,6,97.9
white,29,19,1.53,3,100.0
ignored,26,6,4.33,16,99.6
boyfriend,26,14,1.86,9,100.0
innocent,25,7,3.57,15,100.0
adult,24,14,1.71,5,100.0
honor student,24,5,4.8,15,97.0
FBI,24,10,2.4,9,100.0
no media,23,4,5.75,16,99.8
Indigenous,23,5,4.6,15,100.0
bright future,21,3,7.0,17,100.0
Latino,20,3,6.67,15,100.0
mental health,17,12,1.42,3,100.0
volunteer,17,12,1.42,3,100.0
struggle,15,11,1.36,5,98.7
smart,14,11,1.27,2,100.0
young woman,13,8,1.62,5,100.0
teenager,13,9,1.44,3,100.0
history of,13,7,1.86,3,100.0
beautiful,12,10,1.2,2,100.0
depression,12,8,1.5,2,100.0
prior disappearance,11,4,2.75,4,88.4
search and rescue,9,8,1.12,2,100.0
young man,9,6,1.5,2,100.0
troubled,8,6,1.33,2,97.7
cold case,8,6,1.33,2,100.0
alcohol,8,5,1.6,3,100.0
beloved,7,3,2.33,5,96.3
lifestyle,7,6,1.17,2,100.0
estranged,7,4,1.75,3,96.5
forgotten,7,6,1.17,2,100.0
billboard,6,6,1.0,1,100.0
reward,6,5,1.2,2,100.0
press conference,6,4,1.5,3,100.0
little girl,6,5,1.2,2,100.0
elderly,6,3,2.0,3,100.0
runaway,6,6,1.0,1,96.3
domestic,6,6,1.0,1,100.0
vigil,5,3,1.67,3,100.0
overlooked,4,4,1.0,1,97.5
unstable,4,3,1.33,2,88.3
good student,4,3,1.33,2,100.0
police say,4,2,2.0,3,94.5
out of character,4,4,1.0,1,97.0
devoted,4,4,1.0,1,100.0
homeless,3,3,1.0,1,100.0
everyone loved,3,2,1.5,2,100.0
gentle,3,3,1.0,1,100.0
little boy,3,3,1.0,1,100.0
coroner,3,3,1.0,1,90.0
national attention,3,3,1.0,1,100.0
mixed race,2,2,1.0,1,100.0
family believes,2,2,1.0,1,94.5
massive search,2,2,1.0,1,100.0
dreams of,2,2,1.0,1,100.0
college bound,2,2,1.0,1,100.0
prostitution,2,2,1.0,1,100.0
medical examiner,2,2,1.0,1,100.0
amber alert,2,2,1.0,1,100.0
bad crowd,2,2,1.0,1,100.0
Hispanic,2,1,2.0,2,100.0
always called,2,2,1.0,1,100.0
tip line,1,1,1.0,1,100.0
breaking news,1,1,1.0,1,100.0
spokesperson,1,1,1.0,1,100.0
Native American,1,1,1.0,1,100.0
promising,1,1,1.0,1,100.0
Asian,1,1,1.0,1,100.0
little coverage,1,1,1.0,1,100.0
close with family,1,1,1.0,1,100.0
hitchhiking,1,1,1.0,1,100.0
urgent,1,1,1.0,1,100.0
African American,0,0,0.0,0,0.0
loving family,0,0,0.0,0,0.0
biracial,0,0,0.0,0,0.0
Latina,0,0,0.0,0,0.0
pillar of the community,0,0,0.0,0,0.0
turbulent,0,0,0.0,0,0.0
full of life,0,0,0.0,0,0.0
last seen at a bar,0,0,0.0,0,0.0
vibrant,0,0,0.0,0,0.0
transient,0,0,0.0,0,0.0
exhaustive search,0,0,0.0,0,0.0
family fought,0,0,0.0,0,0.0
