episode_title,sympathetic_mentions,risk_mentions,total_mentions,sympathetic_ratio,language_bias
"Melissa Ann Trumpy: Taken Hostage -- Shannon, IL.  Oct. 26, 2021",89,64,153,0.58,Balanced
"Unfound Live for February 2, 2026: Branson Perry, Dentist Followup, Yessenia Norman",65,43,108,0.6,Sympathetic
"Unfound Live for Feb. 16, 2026: Leonard Dirickson, Nancy Guthrie Continued, Kids Solve A Case",47,28,75,0.63,Sympathetic
"Unfound Live for February 9, 2026: Anthony Fox, Nancy Guthrie, Virginia Piper",43,18,61,0.7,Sympathetic
THE VANISHING OF JOSEPH HELT,29,19,48,0.6,Sympathetic
"Joseph Michael Bushling: Help -- Dugway, UT   May 8, 2011",13,9,22,0.59,Balanced
"Laynee Danielle Westbrook: And Her Little Dog Too -- Anacortes, WA   September 10, 2020",6,13,19,0.32,Risk-focused
"Unfound Live for January 27, 2025: LA Fires Update, Car Trackers, Silver Linings",9,8,17,0.53,Balanced
"Unfound Live for January 6, 2025: Missy Bevers Insight, the recent attacks, Insomnia Disappearances",5,11,16,0.31,Risk-focused
"Unfound Live for November 18, 2024: LA Woman, New Mexico Mystery, What Is Science",7,8,15,0.47,Balanced
173 - The Vanishing of Charles & Catherine Romer UPDATED,8,5,13,0.62,Sympathetic
"Gregory Keith Mann Jr.: We've Come A Long Way -- Wichita Falls, TX May 10, 1997",4,8,12,0.33,Risk-focused
"Jared McColloch: A Matter Of Time Zone -- Knox County, IN   Nov. 5, 2023",6,4,10,0.6,Balanced
"Unfound Now: Robert Williams -- November 25, 2024. Arlington, VA",4,6,10,0.4,Balanced
"John Clinton ""Clint"" Walker: No Jacket Required -- Bellingham, WA   November 11, 2014",5,5,10,0.5,Balanced
Unfound Update Episode #19,4,6,10,0.4,Balanced
"Unfound Live for January 13, 2025: LA fires, A Pilot disappears, Unsolved Mysteries Revisited",6,3,9,0.67,Sympathetic
"Unfound Live for October 21, 2024: Mt. Everest Mystery, Zelig Williams, Denver Airport Disappearance",5,4,9,0.56,Balanced
"Unfound Live for November 11, 2024: Delphi Verdict, A Kayaker Mystery, Cold Case Units",8,1,9,0.89,Sympathetic
"Unfound Live for December 16, 2024: The Drones, Missing in LA, Pankey News",3,5,8,0.38,Risk-focused
"Unfound Now: Cynthia McCoy -- Kingman, AZ   August 20, 2024",3,4,7,0.43,Balanced
33 | The Disappearance of Paul Fugate | Unfound On The Ground,3,1,4,0.75,Sympathetic
"Tatiana Lupaca: Coming To America -- Brooklyn, NY   Jan. 25, 1999",3,1,4,0.75,Sympathetic
Analysis of the night of Jonelle Matthews' disappearance,1,1,2,0.5,Balanced
"Kelly Rothwell -- Street View Map Analysis    Jan. 23, 2025",1,0,1,1.0,Sympathetic
