NAME,DP1_0001C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP1_0006C,DP1_0007C,DP1_0008C,DP1_0009C,DP1_0010C,DP1_0011C,DP1_0012C,DP1_0013C,DP1_0014C,DP1_0015C,DP1_0016C,DP1_0017C,DP1_0018C,DP1_0019C,DP1_0025C,DP1_0049C,DP1_0078C,DP1_0079C,DP1_0080C,DP1_0081C,DP1_0082C,DP1_0083C,state
Alabama,5024279,286529,302637,325031,338475,345931,314244,311116,309023,299942,311701,314904,343922,336101,291073,240105,160143,102657,90745,2426844,2597435,3220452,1296162,33625,76660,2984,137443,01
Alaska,733391,48104,51054,51344,47433,49456,55058,56981,53934,44452,41800,43034,48331,47225,38810,26387,15349,8120,6519,381417,351974,435392,21898,111575,44032,12698,18272,02
Arizona,7151502,392370,443878,485297,485891,477713,473578,462909,446551,418050,416563,416212,446033,447285,417524,373212,257377,156435,134624,3537343,3614159,4322337,339150,319512,257430,16397,899870,04
Arkansas,3011524,179575,192794,205837,204915,198109,188836,190366,190363,180881,179591,179547,199529,192314,170037,142683,98695,62518,54934,1476498,1535026,2114512,453783,27177,51839,14533,136105,05
California,39538223,2137439,2393219,2613891,2644071,2731553,2915258,2911574,2784129,2541880,2478118,2499137,2520737,2350053,1971075,1576223,1050730,694558,724578,19549003,19989220,16296122,2237044,631016,6085947,157263,8370596,06
Colorado,5773714,314580,347525,377510,375364,382920,444668,451164,423443,375579,357122,342865,359885,352394,305216,237886,148057,90766,86770,2899751,2873963,4082927,234828,74129,199827,10287,464046,08
Connecticut,3605944,176831,197636,221199,240933,235047,222207,232108,224673,212139,219893,251310,270590,254313,204768,164358,115342,74870,87727,1749853,1856091,2395128,388675,16051,172455,1598,299133,09
Delaware,989948,51230,56920,61324,62659,65475,60431,62234,60683,55387,55709,62198,70533,70588,63876,53934,35972,21363,19432,476719,513229,597763,218899,5148,42699,412,48509,10
District of Columbia,689545,37068,33308,28928,33747,64439,83277,79300,61493,43522,35495,34012,35275,32905,28415,22791,15384,9701,10485,322777,366768,273194,285810,3193,33545,432,37294,11
Florida,21538187,1030284,1151858,1262516,1289224,1285788,1291440,1348166,1326070,1263395,1316747,1386691,1534670,1483312,1361943,1226063,879394,564438,536188,10464234,11073953,12422961,3246381,94795,643682,14014,1564282,12
Georgia,10711908,614218,679790,749125,757468,747971,728985,725173,708972,681246,701252,696513,704396,637510,536772,439724,284515,170949,147329,5188570,5523338,5555483,3320513,50618,479028,7299,555059,13
Hawaii,1455271,77352,83767,87276,83640,92885,95625,95497,95531,88408,86939,91112,96356,98432,90547,75416,48753,29896,37839,727844,727427,333261,23417,4370,541902,157445,26747,15
Idaho,1839106,114128,129335,138314,134108,127524,117342,114668,118378,111562,102643,100425,109134,111862,103411,84252,56779,34264,30977,919196,919910,1510360,15726,25621,26836,3726,103632,16
Illinois,12812508,705616,763671,831877,855690,842565,873016,871203,858041,810364,799253,814067,862829,830331,691275,539054,366131,243895,253630,6283130,6529378,7868227,1808271,96498,754878,4501,1135149,17
Indiana,6785528,408828,442186,465339,472267,459058,435338,431487,429507,409857,410119,412419,451229,439014,373783,294255,197771,127861,125210,3344660,3440868,5241795,648513,26086,167959,3137,261312,18
Iowa,3190369,190064,205867,217636,219549,216654,197552,200281,202202,186561,175390,183956,209469,210735,185965,144190,98170,69875,76253,1586092,1604277,2694521,131972,14486,75629,5758,88720,19
Kansas,2937880,179446,198074,208847,208798,202972,185786,189855,192939,174026,164106,165359,189079,188203,162854,126077,84529,56133,60797,1462305,1475575,2222462,168809,30995,86273,3412,145422,20
Kentucky,4505836,264254,282850,298729,296815,291637,285179,283846,282900,277441,280765,285386,310188,298687,258744,209001,136654,85800,76960,2214921,2290915,3711254,362417,12801,74426,3681,96417,21
Louisiana,4657757,281257,300637,319364,315433,304262,300079,312637,316057,283462,265605,279710,310238,305873,262682,203953,133351,85009,78148,2261286,2396471,2657652,1464023,31657,86438,1911,142699,22
Maine,1362359,61477,68948,75490,79872,74720,76337,83560,81855,76931,81219,91120,105618,108183,97598,80508,52726,32908,33289,667560,694799,1237041,25752,7885,16798,443,9730,23
Maryland,6177224,345047,377185,400968,400253,396606,408268,432707,422588,383279,378793,408964,436213,400038,327319,260763,175460,110521,112252,2975416,3201808,3007874,1820472,31845,420944,3247,410941,24
Massachusetts,7029917,340020,369428,403461,449631,513628,504069,495638,450859,410259,421151,468421,500987,470577,395871,322437,216262,139927,157291,3401702,3628215,4896037,494029,24018,507934,2301,496731,25
Michigan,10077331,548875,594605,628558,667560,674096,660555,644106,606794,576964,602111,648296,710992,708039,604404,472177,318535,203147,207517,4970856,5106475,7444974,1376579,61261,334300,3051,221851,26
Minnesota,5706494,340357,366937,383116,374919,357908,366334,389815,394491,348332,325245,344984,388764,375999,315161,242037,164798,110639,116658,2835448,2871046,4423146,398434,68641,299190,2918,168444,27
Mississippi,2961279,171647,182950,207422,213084,198404,180640,178433,184518,178494,178531,181069,199869,196657,171064,137560,90307,58776,51854,1429853,1531426,1658893,1084481,16450,32709,1154,56860,28
Missouri,6154913,355024,381173,405032,407688,410729,400228,401876,395379,361442,354536,367078,423057,413914,351131,281955,195509,125702,123460,3024114,3130799,4740335,699840,30518,133377,9730,127942,29
Montana,1084225,59224,66297,69137,66565,66952,66827,70152,69884,63227,58223,60225,72729,79500,74081,57852,37911,23556,21883,544238,539987,916524,5484,67612,8300,941,14089,30
Nebraska,1961504,126605,135906,140325,138062,130698,127284,130398,131592,116651,109017,107522,123362,122735,106612,82060,54633,37440,40602,976742,984762,1538052,96535,23102,52951,1534,105167,31
Nevada,3104614,174032,192429,205184,195339,193741,215742,220392,215050,198544,196639,197540,200856,190666,170721,144856,95214,54966,42703,1553734,1550880,1588463,304739,43932,272703,25011,435757,32
New Hampshire,1377529,61480,69472,77118,84632,86990,82946,87210,82772,76200,84124,97191,112232,109208,90167,72126,46985,28082,28594,681709,695820,1216203,20127,3031,35871,453,24102,33
New Jersey,9288994,502046,547708,592713,604078,583873,595812,624318,611624,587651,592705,635898,665006,614263,490606,393561,271036,179939,196157,4518705,4770289,5112280,1219770,51186,950090,3533,1048641,34
New Mexico,2117522,114806,130774,146184,144564,135460,135941,138031,134767,121681,117352,121584,141556,143615,130834,108022,69493,43497,39361,1044156,1073366,1078937,45904,212241,37469,2093,318632,35
New York,20201249,1060610,1128030,1191583,1276802,1391913,1482376,1473580,1339862,1224791,1203407,1316621,1389805,1313403,1089396,879833,594264,403121,441852,9770361,10430888,11143349,2986172,149690,1933127,10815,2210633,36
North Carolina,10439388,574468,625115,679932,700316,701089,679476,682624,659871,640867,666861,673554,699386,666381,588433,493147,325978,199689,182201,5067350,5372038,6488459,2140217,130032,343051,8518,617390,37
North Dakota,779094,52366,52879,50284,50616,59933,56990,56876,53616,44299,40007,40657,47902,49249,41509,30075,20304,14469,17063,398069,381025,645938,26783,38914,13213,924,11382,38
Ohio,11799448,666434,713483,756261,777343,780712,749521,750803,728487,685355,701381,738744,813217,818970,699634,555652,367458,246499,249494,5781618,6017830,9080688,1478781,30720,298509,5034,224344,39
Oklahoma,3959353,241242,264708,280004,275687,270664,257678,262631,264822,237385,227685,223178,252123,248468,214883,172030,118988,76615,70562,1961629,1997724,2514885,289961,332791,90949,8608,214001,40
