State,total_cases,population,cases_per_100k,urban_pct,pct_female,pct_male,pct_asian,pct_black,pct_hispanic,pct_native_american,pct_other_unknown,pct_white,median_age
TX,1716,28995881.0,5.92,84.7,34.3,65.7,1.1,25.5,52.8,0.4,0.6,19.6,28
CA,1216,39512223.0,3.08,95.0,34.5,65.5,4.7,13.8,37.3,1.2,3.0,40.0,37
FL,1089,21477737.0,5.07,91.2,39.9,60.1,1.5,25.5,26.6,0.3,0.8,45.3,28
TN,670,6829174.0,9.81,66.4,36.3,63.7,0.9,30.6,24.5,0.3,1.0,42.7,24
OK,382,3956971.0,9.65,66.2,37.2,62.8,1.6,23.8,13.6,8.4,1.3,51.3,31
NC,326,10488084.0,3.11,66.1,38.7,61.3,1.2,28.8,19.0,2.8,0.3,47.9,34
NY,301,19453561.0,1.55,87.9,35.5,64.5,4.7,25.9,27.2,0.0,2.0,40.2,34
AZ,287,7278717.0,3.94,89.8,27.9,72.1,0.7,7.7,32.4,16.0,1.4,41.8,35
WA,265,7614893.0,3.48,84.1,30.2,69.8,2.6,7.5,10.6,6.8,3.4,69.1,37
AK,246,731545.0,33.63,66.0,20.7,79.3,4.5,5.3,1.6,30.9,4.9,52.8,40
IL,201,12671821.0,1.59,88.5,31.8,68.2,1.0,38.8,22.9,0.0,0.5,36.8,39
AR,192,3017804.0,6.36,56.2,35.9,64.1,0.0,28.1,17.2,0.0,2.1,52.6,33
GA,191,10617423.0,1.8,75.1,30.9,69.1,2.1,47.6,9.9,0.0,0.5,39.8,37
NJ,183,8882190.0,2.06,94.7,30.1,69.9,2.7,27.9,34.4,0.0,2.7,32.2,36
MO,182,6137428.0,2.97,70.4,34.6,65.4,1.1,29.7,4.9,0.5,1.1,62.6,38
OR,176,4217737.0,4.17,81.0,23.3,76.7,0.0,2.3,15.3,4.0,1.1,77.3,41
PA,175,12801989.0,1.37,78.7,36.6,63.4,1.1,32.0,16.0,0.0,0.6,50.3,35
LA,173,4648794.0,3.72,73.2,30.1,69.9,2.3,42.2,4.6,0.0,1.2,49.7,37
MI,148,9986857.0,1.48,74.6,36.5,63.5,0.0,32.4,9.5,0.0,1.4,56.8,38
KY,129,4467673.0,2.89,58.8,34.9,65.1,1.6,15.5,14.0,0.0,0.0,69.0,34
OH,127,11689100.0,1.09,77.9,33.9,66.1,1.6,24.4,7.9,0.0,0.8,65.4,34
CO,122,5758736.0,2.12,86.2,41.8,58.2,4.9,9.0,11.5,4.1,2.5,68.0,40
NM,115,2096829.0,5.48,77.4,33.0,67.0,0.0,3.5,23.5,30.4,2.6,40.0,39
VA,112,8535519.0,1.31,75.5,33.9,66.1,0.0,33.9,28.6,0.0,0.9,36.6,36
AL,104,4903185.0,2.12,59.0,36.5,63.5,0.0,23.1,6.7,0.0,0.0,70.2,36
SC,99,5148714.0,1.92,66.3,44.4,55.6,1.0,29.3,7.1,0.0,1.0,61.6,39
MS,82,2976149.0,2.76,49.4,34.1,65.9,1.2,41.5,2.4,1.2,0.0,53.7,34
CT,81,3565287.0,2.27,88.0,45.7,54.3,4.9,19.8,29.6,0.0,1.2,44.4,34
NV,79,3080156.0,2.56,94.2,26.6,73.4,2.5,13.9,21.5,3.8,0.0,58.2,42
HI,79,1415872.0,5.58,91.9,25.3,74.7,12.7,3.8,5.1,0.0,15.2,63.3,39
MD,78,6045680.0,1.29,87.2,43.6,56.4,0.0,34.6,11.5,0.0,3.8,50.0,33
WI,73,5822434.0,1.25,70.2,32.9,67.1,1.4,11.0,11.0,4.1,0.0,72.6,40
MA,71,6892503.0,1.03,92.0,31.0,69.0,2.8,7.0,21.1,0.0,0.0,69.0,36
IN,69,6732219.0,1.02,72.4,39.1,60.9,2.9,26.1,8.7,0.0,1.4,60.9,36
KS,49,2913314.0,1.68,74.2,42.9,57.1,4.1,12.2,18.4,2.0,0.0,63.3,31
MT,48,1068778.0,4.49,55.9,37.5,62.5,2.1,2.1,0.0,27.1,2.1,66.7,35
UT,46,3205958.0,1.43,90.6,28.3,71.7,0.0,0.0,34.8,2.2,2.2,60.9,34
WV,33,1792147.0,1.84,48.7,30.3,69.7,0.0,21.2,0.0,0.0,0.0,78.8,36
MN,33,5639632.0,0.59,73.3,24.2,75.8,0.0,9.1,0.0,24.2,3.0,63.6,41
ID,29,1787065.0,1.62,70.6,27.6,72.4,0.0,3.4,6.9,3.4,0.0,86.2,50
ME,28,1344212.0,2.08,38.7,39.3,60.7,3.6,3.6,0.0,0.0,3.6,89.3,52
IA,27,3155070.0,0.86,64.0,33.3,66.7,3.7,11.1,11.1,0.0,0.0,74.1,29
NE,26,1934408.0,1.34,73.1,30.8,69.2,3.8,19.2,11.5,3.8,0.0,61.5,34
NH,23,1359711.0,1.69,60.3,30.4,69.6,0.0,13.0,4.3,0.0,0.0,82.6,36
DC,20,705749.0,2.83,100.0,20.0,80.0,0.0,45.0,10.0,0.0,0.0,45.0,38
WY,19,578759.0,3.28,64.8,21.1,78.9,0.0,5.3,21.1,5.3,5.3,63.2,44
RI,15,1059361.0,1.42,90.7,26.7,73.3,6.7,6.7,13.3,0.0,6.7,66.7,31
SD,13,884659.0,1.47,56.7,38.5,61.5,0.0,7.7,0.0,53.8,0.0,38.5,31
ND,13,762062.0,1.71,59.9,38.5,61.5,0.0,0.0,0.0,38.5,0.0,61.5,47
PR,10,,,93.6,40.0,60.0,0.0,10.0,40.0,0.0,10.0,40.0,40
VI,10,,,95.3,30.0,70.0,0.0,50.0,20.0,0.0,0.0,30.0,56
DE,10,973764.0,1.03,83.3,40.0,60.0,0.0,30.0,0.0,0.0,0.0,70.0,45
VT,7,623989.0,1.12,38.9,42.9,57.1,0.0,14.3,0.0,0.0,0.0,85.7,38
GU,2,,,93.7,0.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,31
